,0
0,0.0
1,39.99
2,0.0
3,0.0
4,39.99
5,29.99
6,0.0
7,49.99
8,0.0
9,29.99
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,39.99
16,39.99
17,0.0
18,99.99
19,49.99
20,0.0
21,179.99
22,0.0
23,0.0
24,39.99
25,0.0
26,0.0
27,89.99
28,24.99
29,179.99
30,0.0
31,19.99
32,0.0
33,39.99
34,24.99
35,0.0
36,0.0
37,0.0
38,49.99
39,39.99
40,0.0
41,0.0
42,0.0
43,0.0
44,179.99
45,0.0
46,179.99
47,0.0
48,179.99
49,24.99
50,179.99
51,19.99
52,0.0
53,24.99
54,39.99
55,0.0
56,0.0
57,0.0
58,24.99
59,0.0
60,0.0
61,0.0
62,0.0
63,19.99
64,99.99
65,0.0
66,39.99
67,0.0
68,0.0
69,99.99
70,39.99
71,0.0
72,39.99
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,19.99
83,0.0
84,49.99
85,0.0
86,19.99
87,89.99
88,24.99
89,89.99
90,19.99
91,39.99
92,24.99
93,0.0
94,39.99
95,0.0
96,39.99
97,49.99
98,49.99
99,24.99
100,89.99
101,0.0
102,0.0
103,39.99
104,0.0
105,89.99
106,0.0
107,19.99
108,0.0
109,89.99
110,0.0
111,49.99
112,89.99
113,0.0
114,29.99
115,0.0
116,39.99
117,0.0
118,0.0
119,0.0
120,0.0
121,99.99
122,0.0
123,0.0
124,49.99
125,179.99
126,0.0
127,24.99
128,0.0
129,24.99
130,39.99
131,24.99
132,0.0
133,0.0
134,0.0
135,49.99
136,29.99
137,0.0
138,0.0
139,0.0
140,0.0
141,29.99
142,99.99
143,0.0
144,0.0
145,89.99
146,0.0
147,19.99
148,29.99
149,0.0
150,0.0
151,0.0
152,0.0
153,29.99
154,19.99
155,24.99
156,0.0
157,0.0
158,0.0
159,0.0
160,39.99
161,0.0
162,0.0
163,0.0
164,19.99
165,0.0
166,0.0
167,0.0
168,0.0
169,89.99
170,24.99
171,0.0
172,89.99
173,49.99
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,179.99
183,0.0
184,0.0
185,0.0
186,89.99
187,29.99
188,179.99
189,0.0
190,0.0
191,179.99
192,19.99
193,0.0
194,179.99
195,99.99
196,19.99
197,0.0
198,29.99
199,0.0
200,0.0
201,0.0
202,39.99
203,0.0
204,0.0
205,179.99
206,0.0
207,0.0
208,39.99
209,179.99
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,89.99
217,49.99
218,24.99
219,0.0
220,39.99
221,39.99
222,89.99
223,24.99
224,0.0
225,0.0
226,0.0
227,179.99
228,179.99
229,0.0
230,179.99
231,19.99
232,0.0
233,39.99
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,19.99
243,0.0
244,0.0
245,39.99
246,0.0
247,0.0
248,179.99
249,0.0
250,0.0
251,0.0
252,0.0
253,179.99
254,179.99
255,39.99
256,0.0
257,49.99
258,0.0
259,0.0
260,0.0
261,0.0
262,19.99
263,39.99
264,39.99
265,19.99
266,0.0
267,39.99
268,0.0
269,0.0
270,24.99
271,0.0
272,29.99
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,49.99
280,29.99
281,0.0
282,19.99
283,0.0
284,0.0
285,0.0
286,0.0
287,49.99
288,0.0
289,0.0
290,39.99
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,19.99
302,49.99
303,0.0
304,0.0
305,19.99
306,0.0
307,39.99
308,39.99
309,89.99
310,39.99
311,0.0
312,39.99
313,49.99
314,0.0
315,0.0
316,99.99
317,99.99
318,179.99
319,0.0
320,49.99
321,0.0
322,99.99
323,0.0
324,0.0
325,24.99
326,179.99
327,89.99
328,0.0
329,179.99
330,179.99
331,0.0
332,0.0
333,0.0
334,49.99
335,179.99
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,29.99
342,0.0
343,0.0
344,39.99
345,0.0
346,39.99
347,24.99
348,179.99
349,49.99
350,179.99
351,0.0
352,0.0
353,0.0
354,99.99
355,89.99
356,19.99
357,0.0
358,0.0
359,0.0
360,0.0
361,19.99
362,0.0
363,0.0
364,0.0
365,99.99
366,39.99
367,49.99
368,0.0
369,0.0
370,0.0
371,24.99
372,0.0
373,0.0
374,0.0
375,39.99
376,39.99
377,0.0
378,39.99
379,179.99
380,0.0
381,39.99
382,99.99
383,29.99
384,0.0
385,99.99
386,0.0
387,39.99
388,0.0
389,89.99
390,0.0
391,39.99
392,39.99
393,0.0
394,0.0
395,24.99
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,179.99
406,24.99
407,0.0
408,19.99
409,0.0
410,24.99
411,0.0
412,19.99
413,0.0
414,19.99
415,0.0
416,0.0
417,179.99
418,0.0
419,0.0
420,0.0
421,24.99
422,0.0
423,0.0
424,99.99
425,39.99
426,29.99
427,19.99
428,0.0
429,179.99
430,24.99
431,0.0
432,0.0
433,24.99
434,99.99
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,89.99
441,0.0
442,24.99
443,0.0
444,0.0
445,0.0
446,0.0
447,29.99
448,89.99
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,19.99
458,0.0
459,89.99
460,39.99
461,0.0
462,0.0
463,0.0
464,0.0
465,0.0
466,0.0
467,0.0
468,0.0
469,0.0
470,0.0
471,0.0
472,29.99
473,0.0
474,0.0
475,99.99
476,0.0
477,0.0
478,0.0
479,179.99
480,0.0
481,29.99
482,0.0
483,0.0
484,89.99
485,39.99
486,0.0
487,0.0
488,0.0
489,0.0
490,0.0
491,49.99
492,0.0
493,39.99
494,0.0
495,49.99
496,0.0
497,0.0
498,24.99
499,99.99
500,0.0
501,0.0
502,0.0
503,24.99
504,0.0
505,179.99
506,0.0
507,29.99
508,24.99
509,0.0
510,0.0
511,0.0
512,29.99
513,39.99
514,19.99
515,0.0
516,39.99
517,19.99
518,19.99
519,0.0
520,0.0
521,0.0
522,0.0
523,0.0
524,39.99
525,0.0
526,0.0
527,89.99
528,0.0
529,24.99
530,179.99
531,0.0
532,19.99
533,24.99
534,0.0
535,0.0
536,0.0
537,0.0
538,24.99
539,0.0
540,0.0
541,0.0
542,0.0
543,0.0
544,0.0
545,0.0
546,0.0
547,39.99
548,39.99
549,39.99
550,0.0
551,0.0
552,0.0
553,0.0
554,0.0
555,179.99
556,0.0
557,0.0
558,0.0
559,0.0
560,0.0
561,0.0
562,179.99
563,0.0
564,0.0
565,0.0
566,24.99
567,24.99
568,0.0
569,179.99
570,0.0
571,0.0
572,24.99
573,0.0
574,0.0
575,0.0
576,19.99
577,19.99
578,0.0
579,0.0
580,0.0
581,24.99
582,24.99
583,0.0
584,0.0
585,0.0
586,24.99
587,0.0
588,49.99
589,0.0
590,24.99
591,24.99
592,0.0
593,29.99
594,0.0
595,99.99
596,0.0
597,0.0
598,179.99
599,0.0
600,0.0
601,0.0
602,24.99
603,0.0
604,0.0
605,24.99
606,19.99
607,0.0
608,0.0
609,19.99
610,179.99
611,179.99
612,99.99
613,19.99
614,19.99
615,0.0
616,0.0
617,89.99
618,0.0
619,0.0
620,0.0
621,0.0
622,19.99
623,39.99
624,0.0
625,19.99
626,39.99
627,0.0
628,89.99
629,29.99
630,0.0
631,49.99
632,0.0
633,0.0
634,99.99
635,179.99
636,24.99
637,0.0
638,89.99
639,39.99
640,0.0
641,99.99
642,0.0
643,0.0
644,0.0
645,0.0
646,0.0
647,0.0
648,49.99
649,19.99
650,0.0
651,0.0
652,179.99
653,0.0
654,0.0
655,19.99
656,0.0
657,99.99
658,89.99
659,0.0
660,0.0
661,0.0
662,39.99
663,0.0
664,0.0
665,0.0
666,0.0
667,0.0
668,0.0
669,0.0
