hours_worked,happiness
41.0,90.0
45.0,74.0
24.0,97.0
14.0,68.0
47.0,73.0
35.0,94.0
57.0,30.0
7.0,44.0
26.0,95.0
48.0,68.0
31.0,97.0
14.0,69.0
3.0,30.0
11.0,59.0
20.0,91.0
6.0,40.0
51.0,52.0
58.0,20.0
11.0,69.0
29.0,96.0
7.0,44.0
48.0,67.0
52.0,47.0
36.0,95.0
25.0,98.0
52.0,47.0
46.0,72.0
54.0,43.0
13.0,70.0
50.0,64.0
35.0,93.0
48.0,68.0
9.0,52.0
45.0,79.0
6.0,40.0
47.0,70.0
35.0,100.0
39.0,88.0
17.0,86.0
46.0,73.0
8.0,52.0
55.0,35.0
37.0,89.0
46.0,70.0
16.0,84.0
49.0,64.0
37.0,93.0
17.0,80.0
38.0,96.0
6.0,40.0
